zipcode,borough,state,country
11367,QUEENS,NY,US
11368,QUEENS,NY,US
11369,QUEENS,NY,US
11370,QUEENS,NY,US
11371,QUEENS,NY,US
11372,QUEENS,NY,US
11373,QUEENS,NY,US
11374,QUEENS,NY,US
11375,QUEENS,NY,US
11377,QUEENS,NY,US
11378,QUEENS,NY,US
11379,QUEENS,NY,US
11385,QUEENS,NY,US
11411,QUEENS,NY,US
11412,QUEENS,NY,US
11413,QUEENS,NY,US
11414,QUEENS,NY,US
11415,QUEENS,NY,US
11416,QUEENS,NY,US
11417,QUEENS,NY,US
11418,QUEENS,NY,US
11419,QUEENS,NY,US
11420,QUEENS,NY,US
11421,QUEENS,NY,US
11422,QUEENS,NY,US
11423,QUEENS,NY,US
11426,QUEENS,NY,US
11427,QUEENS,NY,US
11428,QUEENS,NY,US
11429,QUEENS,NY,US
11430,QUEENS,NY,US
11432,QUEENS,NY,US
11433,QUEENS,NY,US
11434,QUEENS,NY,US
11435,QUEENS,NY,US
11436,QUEENS,NY,US
11691,QUEENS,NY,US
11692,QUEENS,NY,US
11693,QUEENS,NY,US
11694,QUEENS,NY,US
11695,QUEENS,NY,US
11697,QUEENS,NY,US
