types of vehicle
STATION WAGON / SPORT UTILITY VEHICLE
SEDAN
LIVERY VEHICLE
TAXI
TRUCK
4 DR SEDAN
VAN
BUS
OTHER
LARGE COM VEH
SMALL COM VEH
BIKE
TRACTOR TRUCK DIESEL
MOTORCYCLE
AMBULANCE
CONVERTIBLE
DUMP
TANK
2 DR SEDAN
E-SCOOTER
E-BIKE
MOTORCYCL
FDNY
USPS
